query,intent
can you reminder attend with 5 pm,SET_REMINDER
can you reminder ceremony with 3 am,SET_REMINDER
remember ceremony at 5 pm,SET_REMINDER
remind me meeting with 5 pm,SET_REMINDER
can you I have an attend with 2 pm,SET_REMINDER
I need to attend at 2 pm,SET_REMINDER
reminder ceremony at 2 pm,SET_REMINDER
please remember ceremony with 3 am,SET_REMINDER
please I need to attend with 5 pm,SET_REMINDER
I have an attend with 2 pm,SET_REMINDER
please want to listen music,MUSIC
please I need to appointment with 5 pm,SET_REMINDER
can you reminder attend at 2 pm,SET_REMINDER
can you remember meeting at 2 pm,SET_REMINDER
please I need to attend at 5 pm,SET_REMINDER
remember attend at 2 pm,SET_REMINDER
please I have an attend at 3 am,SET_REMINDER
I have an appointment at 2 pm,SET_REMINDER
can you I have an ceremony with 5 pm,SET_REMINDER
remind me meetup at 5 pm,SET_REMINDER
please I have an meetup at 5 pm,SET_REMINDER
can you I have an meeting at 5 pm,SET_REMINDER
please remember meeting with 3 am,SET_REMINDER
remind me meeting at 3 am,SET_REMINDER
can you I need to ceremony at 5 pm,SET_REMINDER
I have an attend at 3 am,SET_REMINDER
please reminder meeting with 5 pm,SET_REMINDER
remind me meetup with 3 am,SET_REMINDER
I have an ceremony at 5 pm,SET_REMINDER
remember meetup with 5 pm,SET_REMINDER
I need to appointment with 3 am,SET_REMINDER
please I need to meeting at 5 pm,SET_REMINDER
can you remind me ceremony at 2 pm,SET_REMINDER
can you remember attend with 2 pm,SET_REMINDER
please remind me attend at 2 pm,SET_REMINDER
want to listen song,MUSIC
please I have an ceremony with 3 am,SET_REMINDER
please remind me attend with 5 pm,SET_REMINDER
remind me meeting with 2 pm,SET_REMINDER
can you remind me attend with 2 pm,SET_REMINDER
please reminder meeting at 5 pm,SET_REMINDER
please remind me meetup at 2 pm,SET_REMINDER
please remember meeting at 2 pm,SET_REMINDER
remind me meeting at 2 pm,SET_REMINDER
please remind me meeting at 5 pm,SET_REMINDER
can you reminder meeting at 2 pm,SET_REMINDER
I need to meetup with 5 pm,SET_REMINDER
please I have an meeting at 5 pm,SET_REMINDER
can you remind me meeting with 2 pm,SET_REMINDER
please I need to meetup with 5 pm,SET_REMINDER
I need to appointment with 2 pm,SET_REMINDER
please reminder meetup with 2 pm,SET_REMINDER
can you remember ceremony at 5 pm,SET_REMINDER
can you tell me any appointment,GET_REMINDER
can you I need to appointment at 3 am,SET_REMINDER
can you remember ceremony with 5 pm,SET_REMINDER
can you I have an appointment with 3 am,SET_REMINDER
can you I have an attend at 2 pm,SET_REMINDER
I need to meetup at 2 pm,SET_REMINDER
can you I have an meeting with 5 pm,SET_REMINDER
remind me ceremony with 2 pm,SET_REMINDER
please reminder meetup at 3 am,SET_REMINDER
can you remind me meeting at 5 pm,SET_REMINDER
please remember meetup with 5 pm,SET_REMINDER
remind me attend at 2 pm,SET_REMINDER
can you remind me meetup at 3 am,SET_REMINDER
please reminder meetup with 3 am,SET_REMINDER
please reminder meeting at 3 am,SET_REMINDER
please remind me meeting with 5 pm,SET_REMINDER
can you remember meeting with 3 am,SET_REMINDER
remind me appointment at 3 am,SET_REMINDER
remind me meeting at 5 pm,SET_REMINDER
please I need to ceremony with 3 am,SET_REMINDER
can you I need to ceremony at 3 am,SET_REMINDER
I need to attend with 5 pm,SET_REMINDER
can you remind me ceremony with 2 pm,SET_REMINDER
remember meetup with 2 pm,SET_REMINDER
please when is next meeting,GET_REMINDER
I have an ceremony at 3 am,SET_REMINDER
can you reminder meetup with 3 am,SET_REMINDER
