query,intent
tell me about your personality,OTHER
why are you here,OTHER
talk about yourself,OTHER
tell me some stuff about you,OTHER
talk some stuff about yourself,OTHER
I want to know you better,OTHER
who are you,OTHER
tell me about yourself,OTHER
tell me about you,OTHER
about yourself,OTHER
describe yourself,OTHER
introduce yourself,OTHER
say about you,OTHER
what are you,OTHER
define yourself,OTHER
what is your personality,OTHER
all about you,OTHER
tell me your age,OTHER
what's your age,OTHER
your age,OTHER
age of yours,OTHER
how old are you,OTHER
I'd like to know your age,OTHER
are you 21 years old,OTHER
how old is your platform,OTHER
you are annoying me so much,OTHER
you're incredibly annoying,OTHER
I find you annoying,OTHER
you are annoying,OTHER
you're so annoying,OTHER
how annoying you are,OTHER
you annoy me,OTHER
you are annoying me,OTHER
you are irritating,OTHER
you are such annoying,OTHER
you're too annoying,OTHER
you are very annoying,OTHER
you're not helping me,OTHER
you are bad,OTHER
you're very bad,OTHER
you're really bad,OTHER
you are useless,OTHER
you are horrible,OTHER
you are a waste of time,OTHER
you are disgusting,OTHER
you are lame,OTHER
you are no good,OTHER
you're bad,OTHER
you're awful,OTHER
you are not cool,OTHER
you are not good,OTHER
you are so bad,OTHER
you are so useless,OTHER
you are terrible,OTHER
you are totally useless,OTHER
you are very bad,OTHER
you are waste,OTHER
you're a bad,OTHER
you're not a good,OTHER
you're not very good,OTHER
you're terrible,OTHER
you're the worst,OTHER
you're the worst ever,OTHER
you're worthless,OTHER
you're cute,OTHER
you're attractive,OTHER
you are beautiful,OTHER
you're looking good today,OTHER
you are so beautiful,OTHER
you look amazing,OTHER
you look so good,OTHER
you're so gorgeous,OTHER
you are too beautiful,OTHER
you look great,OTHER
you look so well,OTHER
I like the way you look now,OTHER
I think you're beautiful,OTHER
why are you so beautiful,OTHER
you are so beautiful to me,OTHER
you are cute,OTHER
you are gorgeous,OTHER
you are handsome,OTHER
you are looking awesome,OTHER
you look amazing today,OTHER
you are looking beautiful today,OTHER
you are looking great,OTHER
you are looking pretty,OTHER
you are looking so beautiful,OTHER
you are looking so good,OTHER
you are pretty,OTHER
you are really beautiful,OTHER
you are really cute,OTHER
you are really pretty,OTHER
you are so attractive,OTHER
you are so beautiful today,OTHER
you are so cute,OTHER
you are so gorgeous,OTHER
you are so handsome,OTHER
you are so pretty,OTHER
you are very attractive,OTHER
you are very beautiful,OTHER
you are very cute,OTHER
you are very pretty,OTHER
you look awesome,OTHER
you look cool,OTHER
you look fantastic,OTHER
you look gorgeous,OTHER
you look great today,OTHER
you look perfect,OTHER
you look pretty good,OTHER
you look so beautiful,OTHER
you look so beautiful today,OTHER
you look very pretty,OTHER
you look wonderful,OTHER
I like the way you look,OTHER
you look wonderful today,OTHER
you are cutie,OTHER
you're looking good,OTHER
you're pretty,OTHER
can you get smarter,OTHER
study,OTHER
you should study better,OTHER
you must learn,OTHER
be clever,OTHER
be smarter,OTHER
be smart,OTHER
get qualified,OTHER
your birth date,OTHER
when is your birthday,OTHER
when do you celebrate your birthday,OTHER
when do you have birthday,OTHER
date of your birthday,OTHER
when were you born,OTHER
what's your birthday,OTHER
you are boring,OTHER
you're so boring,OTHER
how boring you are,OTHER
you're really boring,OTHER
you're incredibly boring,OTHER
you are boring me,OTHER
you are very boring,OTHER
who is your boss,OTHER
who do you think is your boss,OTHER
I should be your boss,OTHER
who is your master,OTHER
who is your owner,OTHER
who is the boss,OTHER
who do you work for,OTHER
are you busy,OTHER
do you have a lot of things to do,OTHER
have you got much to do,OTHER
are you very busy,OTHER
are you very busy right now,OTHER
are you so busy,OTHER
are you working,OTHER
how busy you are,OTHER
are you still working on it,OTHER
you're very busy,OTHER
are you working now,OTHER
are you working today,OTHER
have you been busy,OTHER
you are busy,OTHER
are you still working,OTHER
you seem to be busy,OTHER
you seem to be very busy,OTHER
you're a busy person,OTHER
I need you to help me,OTHER
